"X","Y","Día"
403302.643012173,2213651.09639642,21
402394.44500895,2217529.76837727,42
402157.570231442,2212575.30330969,55
412941.437981337,2204380.96440165,77
403900.935478787,2200688.51667012,79
400136.061556269,2215304.41541901,83
409184.77572814,2211024.93098177,97
419595.996515094,2199922.52304251,109
418188.557551382,2195529.91584283,110
401753.423096677,2212018.04185825,115
402896.869031252,2212789.46430965,116
402734.368639446,2212307.70116027,116
396081.196277311,2213560.27665484,120
402393.202066478,2212620.10317528,120
400210.071859526,2216054.12953116,127
401681.07001695,2209998.63100255,155
405722.768246336,2210342.27620572,156
403747.336747012,2218948.74247285,71
404143.551531317,2226023.64400342,126
404108.444052777,2230186.489346,127
405795.538771317,2215764.90615272,172
410447.812303802,2082920.44091971,23
413262.025316716,2092070.25507875,94
410006.076265973,2085393.93175374,115
410133.00993774,2088052.2002812,125
409910.049387318,2086719.22388561,127
412278.859964834,2087666.97330153,157
410016.699632222,2131914.54182273,110
408589.131128774,2133046.72733584,115
388775.739223272,2122563.34372081,107
393641.112383896,2125995.88990701,115
380746.161984919,2130557.66795096,117
403443.111760014,2174964.1486004,125
402624.381427369,2126204.07109946,126
396592.483330807,2124294.36926001,126
389665.380220143,2122853.08102421,135
390121.297003624,2121928.10213826,143
382930.862375877,2067241.1320926,130
536867.811214129,2113570.51593867,67
527951.298747866,2113355.02742015,88
531499.859836136,2108965.47786742,109
527612.150277438,2117402.48088202,110
527709.218534507,2115017.49118808,110
469355.811955499,2165750.6500987,115
471822.933973442,2159927.95164285,118
384037.68621718,2160362.90260577,127
419294.231363426,2184762.40001122,56
415778.490279144,2189672.72167519,91
406054.156563905,2207641.29732029,140
420693.856393397,2184049.05684034,150
418751.227845726,2115003.97240688,56
523940.771337482,2123858.10659805,118
528085.365552897,2102047.44260576,124
423243.117667415,2113921.12645758,71
454140.228470473,2126792.25805993,76
454171.51862375,2163351.63874644,107
455781.035519926,2126794.36266415,117
429910.35762377,2124560.65608561,125
486719.358457132,2170604.36195718,131
490358.778329189,2168542.60819257,140
433682.750511284,2114778.08159,141
409819.238849207,2096359.30807668,70
410057.190102109,2094160.33248671,72
411554.368721645,2102043.78071971,81
420731.313079712,2097791.08658976,82
423652.673939051,2195929.67625835,82
410047.0107484,2102914.5017051,82
408400.484126646,2096301.7017671,85
408817.037691188,2099530.3135123,108
411512.117787744,2091952.46656945,118
424952.032735908,2091490.74714021,140
420789.633149631,2133687.38901635,71
525373.977418315,2134722.36230806,72
527125.563258678,2134294.57216344,84
528054.169027525,2133917.91597543,85
528794.300590779,2132791.02925965,85
422648.815854258,2134374.10211372,92
524989.946602568,2133864.27512454,117
528508.083221475,2134782.32645447,119
527346.334683879,2134974.18646646,121
527872.368172341,2095936.84908684,121
522403.72590417,2134300.44543366,124
526591.830950426,2134075.55361756,127
527746.256026269,2129137.87932876,130
526676.715095379,2133903.55166327,131
